world_rank,university_name,country,teaching,international,research,citations,income,total_score
182,SabancÌãå± University,Turkey,26,44.6,27.1,88.5,42.9,46.9
182,University of Vienna,Austria,35.2,91,39.7,56.3,29.4,46.9
185,Northeastern University,United States of America,36.4,54.7,21.9,81.3,34,46.8
186,University of Oslo,Norway,36.1,60.3,35.2,66.3,36.6,46.7
186,Yeshiva University,United States of America,45.2,27.6,23.9,77.8,-,46.7
188,Stony Brook University,United States of America,32.8,60.5,24.4,80.4,31.3,46.6
188,Tel Aviv University,Israel,43.5,46.1,51.1,45.5,42.6,46.6
188,University of Ottawa,Canada,37.9,63.2,34.7,62.9,45.9,46.6
191,University at Buffalo,United States of America,40.1,57,39.8,57.5,39.6,46.5
192,City University of Hong Kong,Hong Kong,31,71.3,32.9,68.6,49.8,46.3
193,Fudan University,China,45.6,37.4,34,61,49.4,46.2
193,Iowa State University,United States of America,36.4,40.6,30.9,72,54.4,46.2
195,University of Bonn,Germany,32.2,54.8,22.2,83.8,-,46.1
196,Lomonosov Moscow State University,Russian Federation,55.9,60.4,42.1,33.8,78.5,46
196,"St GeorgeÌ¢‰âÂ‰ã¢s, University of London",United Kingdom,23.1,55.8,27.3,86.4,32.4,46
198,University of East Anglia,United Kingdom,25.2,76.5,22.6,83.7,29.2,45.9
199,University of Leicester,United Kingdom,29.8,83.9,31.6,67.1,34.8,45.7
200,Florida Institute of Technology,United States of America,19.7,63,13.1,99.2,53.7,45.6
200,George Washington University,United States of America,44.6,39.9,25.1,70,29.3,45.6
201-225,Bilkent University,Turkey,28,44.6,27.7,76,46.4,-
201-225,Cardiff University,United Kingdom,30.5,69.3,30.4,69.3,34.8,-
201-225,Goethe University Frankfurt,Germany,28.1,55.6,22.4,78.8,38.8,-
201-225,Hebrew University of Jerusalem,Israel,41.5,53.3,36.3,57.2,31.5,-
201-225,Hong Kong Polytechnic University,Hong Kong,33.7,69.9,36.5,56.5,42.6,-
201-225,Korea University,South Korea,48.9,35.9,44.3,39.9,98.5,-
201-225,Newcastle University,United Kingdom,30.3,73.8,29.6,70.3,35,-
