world_rank,university_name,country,teaching,international,research,citations,income,total_score
154,"University of California, Riverside",United States of America,29.1,62.8,32.5,90.3,33.5,51.1
156,Texas A&M University,United States of America,46.4,47.2,58.3,49.3,45.5,50.9
156,Yeshiva University,United States of America,51.7,28.4,30.1,78.8,-,50.9
158,Tel Aviv University,Israel,50.7,39.5,59.8,43.7,49.2,50.5
158,University of Birmingham,United Kingdom,44.8,69.7,46.7,56.3,38.4,50.5
158,University of SÌÄå£o Paulo,Brazil,63,24.5,65.7,30.2,40,50.5
161,University of Auckland,New Zealand,34,88,40.9,64.2,76.6,50.3
162,Stony Brook University,United States of America,38.8,52.8,29.9,82.9,31.6,50.2
162,University of Vienna,Austria,44.3,86.3,46.7,52.4,29.1,50.2
164,UniversitÌÄå© Catholique de Louvain,Belgium,38.6,64.3,40.5,68.8,34.5,50
165,University of Delaware,United States of America,30,37.3,41.6,76.6,97.7,49.7
166,Paris Diderot University Ì¢‰âÂ‰ÛÏ Paris 7,France,31.9,66.8,27.1,87.9,-,49.6
167,University of Texas at Dallas,United States of America,32.6,46.8,32.2,85.2,40,49.5
168,George Washington University,United States of America,48.1,36.6,28,77.1,30,49.4
169,University of Iowa,United States of America,49,26.4,40.9,65.7,-,49.3
170,ÌÄ‰Û¡cole Normale SupÌÄå©rieure de Lyon,France,40.8,61,25.9,79.6,28.9,49.2
171,University of Bonn,Germany,40.9,54,26.1,80.4,-,49
171,University of Liverpool,United Kingdom,38.7,73.7,37.5,64.8,46.4,49
171,University of Ottawa,Canada,40.8,58.1,41.4,63.1,43,49
174,Georgetown University,United States of America,56.4,32.9,35.6,59.8,-,48.9
174,Rensselaer Polytechnic Institute,United States of America,36.2,32.9,40.2,73,66.8,48.9
176,University of Aberdeen,United Kingdom,31.9,84.1,34.3,71.5,48.9,48.8
176,University of Adelaide,Australia,37.3,82.2,43.7,55.9,63.2,48.8
176,University of East Anglia,United Kingdom,29.6,68.9,27.7,85.5,30.7,48.8
176,University of Reading,United Kingdom,39.3,72.4,41.1,61.3,35.2,48.8
180,Joseph Fourier University,France,36.6,56.3,26.5,81.8,36.3,48.6
180,Newcastle University,United Kingdom,37.9,74.4,30.5,72.1,37.4,48.6
182,City University of Hong Kong,Hong Kong,35.2,64,41.8,64.1,53.6,48.5
183,Yonsei University,South Korea,48.3,33.4,50.6,48.6,56.1,48.2
184,Colorado School of Mines,United States of America,24.9,51.2,22.5,94.3,66,48
184,University of Illinois at Chicago,United States of America,53.9,29.1,42.6,52.9,40.4,48
184,William & Mary,United States of America,41.3,25.8,22.6,87.1,29.9,48
187,University College Dublin,Republic of Ireland,31.1,76.5,31.8,74.9,35.3,47.9
187,University of Twente,Netherlands,35.8,61.5,46.4,55.6,79.7,47.9
189,Medical University of South Carolina,United States of America,46.2,27.7,39.6,59.7,77.1,47.7
190,University of Western Australia,Australia,35,88.4,39.9,55.7,60,47.3
190,Wake Forest University,United States of America,37.5,19,22.4,89.1,48,47.3
192,University of Antwerp,Belgium,33.8,58.5,35.5,64.8,100,47.1
193,Iowa State University,United States of America,35.7,30.5,34.3,74.9,44,46.9
193,Technion Israel Institute of Technology,Israel,44.8,55.9,50.2,44,40.8,46.9
193,University of Miami,United States of America,48.7,33.1,27,69.7,-,46.9
196,University of Leicester,United Kingdom,33,83.7,32.5,66.5,34.9,46.7
196,University of Victoria,Canada,20.2,65.9,33.7,82.7,30.6,46.7
198,University at Buffalo,United States of America,46.3,50.7,40.6,52.1,42.4,46.6
199,Goethe University Frankfurt,Germany,33.3,57.6,29.7,73.9,41.4,46.4
200,"Birkbeck, University of London",United Kingdom,27.6,83.2,30.5,72.8,29.4,46.2
201-225,Autonomous University of Barcelona,Spain,39,47.1,35.7,62.8,37.3,-
201-225,Brandeis University,United States of America,27.3,45.3,27.9,83.1,37.4,-
201-225,Cardiff University,United Kingdom,32.5,68.1,38.2,60.2,39.8,-
201-225,Fudan University,China,45.3,38.6,39.5,51.3,46.3,-
201-225,Johannes Gutenberg University of Mainz,Germany,33.5,57,18.4,85.2,-,-
201-225,Lomonosov Moscow State University,Russian Federation,63.5,50.3,48.1,19.7,70.1,-
201-225,Middle East Technical University,Turkey,50.8,28,46,44.6,50.6,-
201-225,Nagoya University,Japan,44.2,25.3,39.2,53.3,35.5,-
201-225,Northeastern University,United States of America,40.1,41,21.2,76.4,33.8,-
201-225,Pompeu Fabra University,Spain,27.3,49.9,23.2,77.5,34.2,-
201-225,QueenÌ¢‰âÂ‰ã¢s University,Canada,39.5,58,35.4,51.2,77.3,-
201-225,"St GeorgeÌ¢‰âÂ‰ã¢s, University of London",United Kingdom,20,57.9,22.6,89.7,44.1,-
201-225,Sungkyunkwan University (SKKU),South Korea,47.1,30.9,48.7,39.3,98.7,-
201-225,Tilburg University,Netherlands,38.2,56.6,54.5,33.7,54.8,-
201-225,University of Barcelona,Spain,32.5,46,33.4,71.4,30.9,-
201-225,University of Dundee,United Kingdom,24.8,66.6,23.2,81.1,49.9,-
201-225,University of Erlangen-Nuremberg,Germany,35,49,18.7,74.6,45.2,-
201-225,University of Georgia,United States of America,45.4,36.2,40.1,46.8,31.3,-
201-225,University of Gothenburg,Sweden,28.3,48.4,41.9,63.8,38.6,-
201-225,University of Innsbruck,Austria,36.6,88.7,17.9,71.6,38.2,-
201-225,University of Konstanz,Germany,32.6,58.5,35.6,64.5,51.9,-
201-225,University of Oslo,Norway,33.5,59,39.8,62.3,31.4,-
201-225,University of Science and Technology of China,China,39.2,22,27.7,72.7,50.1,-
201-225,University of Strasbourg,France,29.7,68.3,29.2,72,34.8,-
201-225,University of TÌÄå_bingen,Germany,36.3,56.3,25.1,73.8,31.6,-
226-250,Bilkent University,Turkey,34.7,42,30.5,60.1,39.9,-
226-250,Carleton University,Canada,18.3,56.8,26.7,75.1,-,-
226-250,Chalmers University of Technology,Sweden,29.9,65.3,41.5,47.7,78.5,-
226-250,Florida Institute of Technology,United States of America,16.2,58.4,11.9,92.5,28.7,-
226-250,Georgia Health Sciences University,United States of America,49.4,32.6,17.5,62,43.6,-
226-250,Indian Institute of Technology Kharagpur,India,44.2,16.1,45.3,39,72.4,-
226-250,Korea University,South Korea,44.7,27.3,43.7,39.4,52.1,-
226-250,KoÌÄå¤ University,Turkey,20.4,52.8,22.3,79.2,37.9,-
226-250,Laval University,Canada,36.4,54.4,27.3,57.5,56.6,-
226-250,Mines ParisTech,France,39.5,62.4,25.6,51.7,99.4,-
226-250,National Research Nuclear University MePhI,Russian Federation,20.9,18.8,10.6,100,59.6,-
226-250,National Tsing Hua University,Taiwan,45.5,20.1,44.1,44.4,44,-
226-250,Simon Fraser University,Canada,24,55.6,35.3,61,41.6,-
226-250,Technical University of Darmstadt,Germany,37.8,64.4,31.8,44.4,84.4,-
226-250,Tulane University,United States of America,42.8,31.2,22.6,66.8,-,-
226-250,University of Bergen,Norway,28.3,71,26.8,66.2,41.1,-
226-250,University of Calgary,Canada,37.3,62.2,35.8,47.1,42.8,-
226-250,University of Cincinnati,United States of America,34.9,23.9,26.5,69.5,35.8,-
